coordinate_id,constructor,ordered_operands,first_rejecting_class,rejection_reason,value_min,value_max,denominator_category,signal_families
"PROD(pinj_15r,cerqrott8)",C2,pinj_15r|cerqrott8,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-18625278630.88245,253029972413.51944,none,cer_rotation_ti|neutral_beams
"PROD(pinj_15r,cerqrott10)",C2,pinj_15r|cerqrott10,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-24221775418.101887,231908511542.7413,none,cer_rotation_ti|neutral_beams
"PROD(pinj_15r,cerqrott11)",C2,pinj_15r|cerqrott11,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-52539398135.89731,215118177558.65826,none,cer_rotation_ti|neutral_beams
"PROD(pinj_15r,cerqrott12)",C2,pinj_15r|cerqrott12,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-48879489970.02209,200069251484.71112,none,cer_rotation_ti|neutral_beams
"PROD(pinj_15r,cerqrott13)",C2,pinj_15r|cerqrott13,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-39555847534.39632,174843177117.1114,none,cer_rotation_ti|neutral_beams
"PROD(pinj_15r,cerqtit3)",C2,pinj_15r|cerqtit3,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,14163053356.540817,none,cer_rotation_ti|neutral_beams
"PROD(pinj_15r,cerqtit6)",C2,pinj_15r|cerqtit6,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,6611298599.896616,none,cer_rotation_ti|neutral_beams
"PROD(pinj_15r,cerqtit8)",C2,pinj_15r|cerqtit8,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,5414870336.8737135,none,cer_rotation_ti|neutral_beams
"PROD(pinj_15r,cerqtit10)",C2,pinj_15r|cerqtit10,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,4813429255.509611,none,cer_rotation_ti|neutral_beams
"PROD(pinj_15r,cerqtit11)",C2,pinj_15r|cerqtit11,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,4457275302.244789,none,cer_rotation_ti|neutral_beams
"PROD(pinj_15r,cerqtit12)",C2,pinj_15r|cerqtit12,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,4091659890.991595,none,cer_rotation_ti|neutral_beams
"PROD(pinj_15r,cerqtit13)",C2,pinj_15r|cerqtit13,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,3899972394.324218,none,cer_rotation_ti|neutral_beams
"PROD(pinj_21l,pinj_21l)",C2,pinj_21l|pinj_21l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,5107762406708.328,none,neutral_beams
"PROD(pinj_21l,pinj_21r)",C2,pinj_21l|pinj_21r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-23571342.86925719,3774710773432.5347,none,neutral_beams
"PROD(pinj_21l,pinj_30l)",C2,pinj_21l|pinj_30l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-31515078.27362523,6010967440555.0625,none,neutral_beams
"PROD(pinj_21l,pinj_30r)",C2,pinj_21l|pinj_30r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-24480820.32651885,4663251277284.576,none,neutral_beams
"PROD(pinj_21l,pinj_33l)",C2,pinj_21l|pinj_33l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-41624784.56115656,4716706752802.64,none,neutral_beams
"PROD(pinj_21l,pinj_33r)",C2,pinj_21l|pinj_33r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-47673086.27718821,5236206092796.036,none,neutral_beams
"PROD(pinj_21l,tinj)",C2,pinj_21l|tinj,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-4144272.9867227143,22274377.6403787,none,neutral_beams
"PROD(pinj_21l,ece1)",C2,pinj_21l|ece1,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-7616.13590883254,2623361300.609483,none,ece_te_profile|neutral_beams
"PROD(pinj_21l,ece2)",C2,pinj_21l|ece2,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-118290.39899739895,13311779655.930897,none,ece_te_profile|neutral_beams
"PROD(pinj_21l,ece3)",C2,pinj_21l|ece3,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-58565.80312394663,6524360367.4506645,none,ece_te_profile|neutral_beams
"PROD(pinj_21l,ece4)",C2,pinj_21l|ece4,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-57311.28309834157,6457950411.116368,none,ece_te_profile|neutral_beams
"PROD(pinj_21l,ece5)",C2,pinj_21l|ece5,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-52924.38482155011,6372467213.580015,none,ece_te_profile|neutral_beams
"PROD(pinj_21l,ece6)",C2,pinj_21l|ece6,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-66463.674223521,7510814951.214093,none,ece_te_profile|neutral_beams
"PROD(pinj_21l,ece7)",C2,pinj_21l|ece7,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-78278.81577681267,8945939605.906292,none,ece_te_profile|neutral_beams
"PROD(pinj_21l,ece8)",C2,pinj_21l|ece8,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-87906.32203327745,9680943381.93532,none,ece_te_profile|neutral_beams
