coordinate_id,constructor,ordered_operands,class_B,class_A,class_C,class_G,class_F,class_D_finite,class_D_constant,class_E_denominator,class_H_leakage,value_min,value_max,admissible,first_rejecting_class,rejection_reason
"PROD(bt,cerqtit3)",C2,bt|cerqtit3,True,True,True,True,True,True,False,,True,-17193.08844652607,16172.577257222,True,,
"PROD(bt,cerqtit6)",C2,bt|cerqtit6,True,True,True,True,True,True,False,,True,-8080.319905735762,7768.068468978434,True,,
"PROD(bt,cerqtit8)",C2,bt|cerqtit8,True,True,True,True,True,True,False,,True,-6746.2043889150655,6341.568930596782,True,,
"PROD(bt,cerqtit10)",C2,bt|cerqtit10,True,True,True,True,True,True,False,,True,-6136.637051573971,4851.440912888483,True,,
"PROD(bt,cerqtit11)",C2,bt|cerqtit11,True,True,True,True,True,True,False,,True,-5823.763555827905,3977.3877184109524,True,,
"PROD(bt,cerqtit12)",C2,bt|cerqtit12,True,True,True,True,True,True,False,,True,-5277.854836529516,4211.964512933152,True,,
"PROD(bt,cerqtit13)",C2,bt|cerqtit13,True,True,True,True,True,True,False,,True,-4832.868033173002,4486.058903504108,True,,
"PROD(ip,ip)",C2,ip|ip,True,True,True,True,True,True,False,,True,373281530780.2033,2565715703064.405,True,,
"PROD(ip,prmtan_neped)",C2,ip|prmtan_neped,True,True,True,True,True,True,False,,True,2.2713608633444667e+24,1.2138790480323346e+26,True,,
"PROD(ip,prmtan_teped)",C2,ip|prmtan_teped,True,True,True,True,True,True,False,,True,-4327869968.100636,4807623979.136151,True,,
"PROD(ip,fs04)",C2,ip|fs04,True,True,True,True,True,True,False,,True,-6.197377159797326e+19,8.799209035934393e+22,True,,
"PROD(ip,fs03da)",C2,ip|fs03da,True,True,True,True,True,True,False,,True,-2.2078042837118185e+19,8.242152233364355e+22,True,,
"PROD(ip,fs05da)",C2,ip|fs05da,True,True,True,True,True,True,False,,True,-6.127683660948243e+19,2.8470819229879465e+22,True,,
"PROD(ip,gasa)",C2,ip|gasa,True,True,True,True,True,True,False,,True,-18056.69787233543,8955471.257075345,True,,
"PROD(ip,gasb)",C2,ip|gasb,True,True,True,True,True,True,False,,True,-1073799.863422394,12784364.50065534,True,,
"PROD(ip,gasc)",C2,ip|gasc,True,True,True,True,True,True,False,,True,-94052.73305779349,245590.53794011127,True,,
"PROD(ip,gasd)",C2,ip|gasd,True,True,True,True,True,True,False,,True,-1114208.8671188361,1336371.6151558848,True,,
"PROD(ip,pinj)",C2,ip|pinj,True,True,True,True,True,True,False,,True,-3952600.9013419976,15472293148106.867,True,,
"PROD(ip,pinj_15l)",C2,ip|pinj_15l,True,True,True,True,True,True,False,,True,0.0,2326260453086.016,True,,
"PROD(ip,pinj_15r)",C2,ip|pinj_15r,True,True,True,True,True,True,True,,True,0.0,2099243217286.2473,False,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK
"PROD(ip,pinj_21l)",C2,ip|pinj_21l,True,True,True,True,True,True,True,,True,-18193165.9029894,2825021774578.2695,False,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK
"PROD(ip,pinj_21r)",C2,ip|pinj_21r,True,True,True,True,True,True,True,,True,0.0,2608142345868.5303,False,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK
"PROD(ip,pinj_30l)",C2,ip|pinj_30l,True,True,True,True,True,True,False,,True,0.0,4031297887794.9062,True,,
"PROD(ip,pinj_30r)",C2,ip|pinj_30r,True,True,True,True,True,True,False,,True,-15807286.361193515,3463559736659.688,True,,
