coordinate_id,constructor,search_stratum,round_robin_order,J_search
"RATIO(pinj_33r,cerqtit11)",C3,C3:NBI|CER,38,0.7925482614538584
"RATIO(tinj,ece18)",C3,C3:NBI|ECE,39,0.6628748438553295
"RATIO(pinj,ip)",C3,C3:NBI|MAG,40,0.5376723279511948
"RATIO(cerqrott11,cerqtit10)",C3,C3:CER|CER,41,0.561078960801561
"RATIO(cerqrott12,ece1)",C3,C3:CER|ECE,42,0.6398793120274429
"RATIO(cerqtit6,bt)",C3,C3:CER|MAG,43,0.6938546042069359
"RATIO(ece21,cerqtit3)",C3,C3:ECE|CER,44,0.4482921486775188
"RATIO(ece30,ece39)",C3,C3:ECE|ECE,45,0.5497262834222875
"RATIO(ece38,bt)",C3,C3:ECE|MAG,46,0.7827452594573712
"RATIO(gasc,cerqtit3)",C3,C3:GAS|CER,47,0.7627994462145223
"RATIO(gasc,ece36)",C3,C3:GAS|ECE,48,0.8496084980957805
"RATIO(ip,cerqtit11)",C3,C3:MAG|CER,49,0.6081299006305925
"RATIO(bt,ece38)",C3,C3:MAG|ECE,50,0.6982793097561488
"RATIO(pinj_33r,cerqtit3)",C3,C3:NBI|CER,51,0.8126127618003653
"RATIO(pinj,ece38)",C3,C3:NBI|ECE,52,0.6644836249639643
"RATIO(tinj,bt)",C3,C3:NBI|MAG,53,0.6252129467993693
"RATIO(cerqrott11,cerqtit11)",C3,C3:CER|CER,54,0.5777541967590809
"RATIO(cerqtit6,ece39)",C3,C3:CER|ECE,55,0.6565581158960836
"RATIO(cerqtit6,ip)",C3,C3:CER|MAG,56,0.6951114612674385
"RATIO(ece20,cerqtit3)",C3,C3:ECE|CER,57,0.44971008061985673
"RATIO(ece21,ece38)",C3,C3:ECE|ECE,58,0.6352145438236655
"RATIO(ece38,ip)",C3,C3:ECE|MAG,59,0.8094139738476627
"RATIO(gasc,ece37)",C3,C3:GAS|ECE,60,0.8513615425735318
"RATIO(bt,cerqtit11)",C3,C3:MAG|CER,61,0.618121237946507
"RATIO(ip,ece38)",C3,C3:MAG|ECE,62,0.7098801912211772
"RATIO(pinj_15l,cerqtit3)",C3,C3:NBI|CER,63,0.8163851039374204
"RATIO(pinj_15l,ece18)",C3,C3:NBI|ECE,64,0.679269741490659
"RATIO(tinj,ip)",C3,C3:NBI|MAG,65,0.6313657307959389
"RATIO(cerqrott12,cerqtit3)",C3,C3:CER|CER,66,0.5906541495408056
"RATIO(cerqtit10,ece38)",C3,C3:CER|ECE,67,0.6621556310210397
"RATIO(cerqtit10,ip)",C3,C3:CER|MAG,68,0.7223639202139138
"RATIO(ece16,cerqtit3)",C3,C3:ECE|CER,69,0.4517195606498328
"RATIO(ece15,ece36)",C3,C3:ECE|ECE,70,0.6970475959865898
"RATIO(ece37,bt)",C3,C3:ECE|MAG,71,0.8162236936837763
"RATIO(gasc,ece35)",C3,C3:GAS|ECE,72,0.872165323244399
"RATIO(ip,cerqtit3)",C3,C3:MAG|CER,73,0.6206255451670464
"RATIO(bt,ece1)",C3,C3:MAG|ECE,74,0.7183516121486978
"RATIO(pinj_15l,cerqtit11)",C3,C3:NBI|CER,75,0.8209498966184418
"RATIO(pinj_15l,ece38)",C3,C3:NBI|ECE,76,0.7261640917330875
"RATIO(pinj_15l,ip)",C3,C3:NBI|MAG,77,0.6911136537041884
"RATIO(cerqrott10,cerqtit10)",C3,C3:CER|CER,78,0.6009366963273669
"RATIO(cerqtit8,ece39)",C3,C3:CER|ECE,79,0.6632848580454888
"RATIO(cerqtit10,bt)",C3,C3:CER|MAG,80,0.7236430679029772
"RATIO(ece22,cerqtit10)",C3,C3:ECE|CER,81,0.4522210912922613
"RATIO(ece14,ece36)",C3,C3:ECE|ECE,82,0.6987643449350227
"RATIO(ece36,bt)",C3,C3:ECE|MAG,83,0.8189286394742232
"RATIO(gasc,ece1)",C3,C3:GAS|ECE,84,0.879313295943716
"RATIO(bt,cerqtit3)",C3,C3:MAG|CER,85,0.6427506661426878
"RATIO(pinj_15l,cerqtit10)",C3,C3:NBI|CER,86,0.8405135788881549
"RATIO(pinj_30l,ece30)",C3,C3:NBI|ECE,87,0.7324663854113186
"RATIO(pinj_30l,bt)",C3,C3:NBI|MAG,88,0.6913048873720378
"RATIO(cerqrott3,cerqtit10)",C3,C3:CER|CER,89,0.61688078589015
"RATIO(cerqtit3,ece38)",C3,C3:CER|ECE,90,0.6863442737736322
"RATIO(cerqtit3,bt)",C3,C3:CER|MAG,91,0.7315709388077516
"RATIO(ece18,cerqtit3)",C3,C3:ECE|CER,92,0.4527371329985029
"RATIO(ece15,ece35)",C3,C3:ECE|ECE,93,0.7301480251890962
"RATIO(ece28,ip)",C3,C3:ECE|MAG,94,0.8225075545473457
"RATIO(gasc,ece33)",C3,C3:GAS|ECE,95,0.8863632433538955
"RATIO(tinj,cerqtit10)",C3,C3:NBI|CER,96,0.9116890710896163
RECIP(cerqtit10),C5,C5:CER,1,0.5938493070748273
RECIP(ece39),C5,C5:ECE,2,0.6461114784490912
RECIP(bt),C5,C5:MAG,3,0.7080537701844044
RECIP(cerqtit11),C5,C5:CER,4,0.6167974053896841
RECIP(ece38),C5,C5:ECE,5,0.6948254589410565
RECIP(ip),C5,C5:MAG,6,0.8017394716946836
RECIP(cerqtit3),C5,C5:CER,7,0.6417807403433544
RECIP(ece1),C5,C5:ECE,8,0.716405070083456
LEVEL_RATE(cerqrott12|cerqtit3),C6,C6:CER|CER,1,0.9293943409704084
LEVEL_RATE(cerqrott12|ece35),C6,C6:CER|ECE,2,0.9158737925353465
LEVEL_RATE(cerqrott12|gasc),C6,C6:CER|GAS,3,0.9535876236369875
LEVEL_RATE(cerqrott12|ip),C6,C6:CER|MAG,4,0.9278793062512114
LEVEL_RATE(cerqrott13|pinj_33r),C6,C6:CER|NBI,5,0.9515456908541359
LEVEL_RATE(prmtan_neped|cerqtit3),C6,C6:DEN|CER,6,0.9540868837770181
LEVEL_RATE(prmtan_neped|ece19),C6,C6:DEN|ECE,7,0.9606653843428847
LEVEL_RATE(prmtan_neped|gasc),C6,C6:DEN|GAS,8,0.9537573936049013
