seed_id,lane,seed_stratum,constructor,family_signature,coordinate_id,J_search,within_stratum_rank,in_shortlist,flag
SEED_114,MAIN,C7:ECE|ECE,C7,ECE|ECE,RATE_OVER_LEVEL(ece33|ece39),0.9693368048116484,1,True,
SEED_115,MAIN,C7:ECE|MAG,C7,ECE|MAG,RATE_OVER_LEVEL(ece33|ip),0.9998169300231409,1,True,
SEED_116,MAIN,C7:GAS|CER,C7,GAS|CER,RATE_OVER_LEVEL(gasa|cerqtit3),1.0016234349236703,1,True,
SEED_117,MAIN,C7:GAS|DEN,C7,GAS|DEN,RATE_OVER_LEVEL(gasa|prmtan_neped),1.0078871545618688,1,True,
SEED_118,MAIN,C7:GAS|ECE,C7,GAS|ECE,RATE_OVER_LEVEL(gasa|ece39),1.0099445570823955,1,True,
SEED_119,MAIN,C7:GAS|MAG,C7,GAS|MAG,RATE_OVER_LEVEL(gasc|ip),1.0188874371420407,1,True,
SEED_120,MAIN,C7:MAG|CER,C7,MAG|CER,RATE_OVER_LEVEL(ip|cerqtit10),0.8965421663914522,1,True,
SEED_121,MAIN,C7:MAG|DEN,C7,MAG|DEN,RATE_OVER_LEVEL(ip|prmtan_neped),0.9191915205524819,1,True,
SEED_122,MAIN,C7:MAG|ECE,C7,MAG|ECE,RATE_OVER_LEVEL(ip|ece1),0.9242996621970521,1,True,
SEED_123,MAIN,C7:MAG|MAG,C7,MAG|MAG,RATE_OVER_LEVEL(ip|ip),0.9675445369735698,1,True,
SEED_124,MAIN,C7:NBI|CER,C7,NBI|CER,RATE_OVER_LEVEL(pinj_33r|cerqtit3),1.0132745236321958,1,True,
SEED_125,MAIN,C7:NBI|DEN,C7,NBI|DEN,RATE_OVER_LEVEL(pinj_33r|prmtan_neped),1.0150837887481718,1,True,
SEED_126,MAIN,C7:NBI|ECE,C7,NBI|ECE,RATE_OVER_LEVEL(pinj_33r|ece39),1.0146279668230975,1,True,
SEED_127,MAIN,C7:NBI|MAG,C7,NBI|MAG,RATE_OVER_LEVEL(pinj_33r|ip),1.016197379009744,1,True,
RAWSEED_01,RAW_ONLY,C0:CER,C0,CER,ID(cerqtit6),0.7600385006725702,1,True,
RAWSEED_02,RAW_ONLY,C0:DEN,C0,DEN,ID(prmtan_neped),0.49964948280582194,1,True,
RAWSEED_03,RAW_ONLY,C0:ECE,C0,ECE,ID(ece39),0.8274946438678779,1,True,
RAWSEED_04,RAW_ONLY,C0:FS,C0,FS,ID(fs03da),0.7102537791817808,1,True,
RAWSEED_05,RAW_ONLY,C0:GAS,C0,GAS,ID(gasd),0.8755343029565335,1,True,
RAWSEED_06,RAW_ONLY,C0:MAG,C0,MAG,ID(pcdiamag3),0.596620874977544,1,True,
RAWSEED_07,RAW_ONLY,C0:NBI,C0,NBI,ID(pinj),0.5949472992383463,1,True,
