coordinate_id,constructor,search_stratum,within_stratum_rank,round_robin_order,J_search,status
"PROD(bt,prmtan_teped)",C2,"C2:{DEN,MAG}",4,95,0.9735124067641386,IN_EXPANSION_SHORTLIST
"PROD(prmtan_neped,pinj_30l)",C2,"C2:{DEN,NBI}",4,96,0.6284534360719015,IN_EXPANSION_SHORTLIST
"RATIO(cerqrott12,cerqtit10)",C3,C3:CER|CER,1,1,0.6018301381970151,IN_EXPANSION_SHORTLIST
"RATIO(cerqrott3,prmtan_neped)",C3,C3:CER|DEN,1,2,0.6861960042291344,IN_EXPANSION_SHORTLIST
"RATIO(cerqtit8,ece22)",C3,C3:CER|ECE,1,3,0.5731262536116761,IN_EXPANSION_SHORTLIST
"RATIO(cerqtit8,ip)",C3,C3:CER|MAG,1,4,0.7620714614765582,IN_EXPANSION_SHORTLIST
"RATIO(prmtan_neped,cerqtit10)",C3,C3:DEN|CER,1,5,0.8597071735291368,IN_EXPANSION_SHORTLIST
"RATIO(prmtan_teped,prmtan_neped)",C3,C3:DEN|DEN,1,6,1.0146618625611288,IN_EXPANSION_SHORTLIST
"RATIO(prmtan_neped,ece22)",C3,C3:DEN|ECE,1,7,0.6505139554954743,IN_EXPANSION_SHORTLIST
"RATIO(prmtan_neped,bt)",C3,C3:DEN|MAG,1,8,0.5019400463073656,IN_EXPANSION_SHORTLIST
"RATIO(ece16,cerqtit10)",C3,C3:ECE|CER,1,9,0.4801024362475679,IN_EXPANSION_SHORTLIST
"RATIO(ece21,prmtan_neped)",C3,C3:ECE|DEN,1,10,0.5406478203295136,IN_EXPANSION_SHORTLIST
"RATIO(ece25,ece39)",C3,C3:ECE|ECE,1,11,0.5223803596576309,IN_EXPANSION_SHORTLIST
"RATIO(ece39,bt)",C3,C3:ECE|MAG,1,12,0.8311901564215651,IN_EXPANSION_SHORTLIST
"RATIO(fs03da,cerqtit10)",C3,C3:FS|CER,1,13,0.7810138373768962,IN_EXPANSION_SHORTLIST
"RATIO(fs03da,prmtan_neped)",C3,C3:FS|DEN,1,14,0.8386051219580561,IN_EXPANSION_SHORTLIST
"RATIO(fs03da,ece22)",C3,C3:FS|ECE,1,15,0.7517976120486315,IN_EXPANSION_SHORTLIST
"RATIO(fs03da,bt)",C3,C3:FS|MAG,1,16,0.7113932297518052,IN_EXPANSION_SHORTLIST
"RATIO(gasc,cerqtit10)",C3,C3:GAS|CER,1,17,0.7954255812179433,IN_EXPANSION_SHORTLIST
"RATIO(gasc,prmtan_neped)",C3,C3:GAS|DEN,1,18,0.7442076609277678,IN_EXPANSION_SHORTLIST
"RATIO(gasa,ece6)",C3,C3:GAS|ECE,1,19,0.8586233215960999,IN_EXPANSION_SHORTLIST
"RATIO(gasd,bt)",C3,C3:GAS|MAG,1,20,0.854475219459313,IN_EXPANSION_SHORTLIST
"RATIO(ip,cerqtit10)",C3,C3:MAG|CER,1,21,0.6248611467083587,IN_EXPANSION_SHORTLIST
"RATIO(bt,prmtan_neped)",C3,C3:MAG|DEN,1,22,0.5587673598342694,IN_EXPANSION_SHORTLIST
"RATIO(ip,ece22)",C3,C3:MAG|ECE,1,23,0.7189569521941315,IN_EXPANSION_SHORTLIST
"RATIO(ip,bt)",C3,C3:MAG|MAG,1,24,0.856520875161032,IN_EXPANSION_SHORTLIST
"RATIO(pinj_33r,cerqtit10)",C3,C3:NBI|CER,1,25,0.8474688384151833,IN_EXPANSION_SHORTLIST
