coordinate_id,constructor,ordered_operands,operand_roles,family_signature,role_semantics,search_stratum
LEVEL_RATE(ece15|ece22),C6,ece15|ece22,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece15|ece25),C6,ece15|ece25,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece15|ece27),C6,ece15|ece27,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece15|ece28),C6,ece15|ece28,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece15|ece29),C6,ece15|ece29,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece15|ece30),C6,ece15|ece30,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece15|ece31),C6,ece15|ece31,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece15|ece33),C6,ece15|ece33,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece15|ece35),C6,ece15|ece35,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece15|ece36),C6,ece15|ece36,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece15|ece37),C6,ece15|ece37,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece15|ece38),C6,ece15|ece38,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece15|ece39),C6,ece15|ece39,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece15|cerqrott3),C6,ece15|cerqrott3,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece15|cerqrott6),C6,ece15|cerqrott6,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece15|cerqrott8),C6,ece15|cerqrott8,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece15|cerqrott10),C6,ece15|cerqrott10,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece15|cerqrott11),C6,ece15|cerqrott11,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece15|cerqrott12),C6,ece15|cerqrott12,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece15|cerqrott13),C6,ece15|cerqrott13,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece15|cerqtit3),C6,ece15|cerqtit3,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece15|cerqtit6),C6,ece15|cerqtit6,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece15|cerqtit8),C6,ece15|cerqtit8,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece15|cerqtit10),C6,ece15|cerqtit10,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece15|cerqtit11),C6,ece15|cerqtit11,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece15|cerqtit12),C6,ece15|cerqtit12,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
LEVEL_RATE(ece15|cerqtit13),C6,ece15|cerqtit13,level|rate,ECE|CER,(level_family | rate_family),C6:ECE|CER
