coordinate_id,constructor,operands,primitive_ancestors,n_ancestors,depth,output_dimension,unit_expression,temporal_propagation,temporal_resolution_bound_ms,provenance_lineage,aliasing_flag,upsample_flag,uncalibrated_flag,primary_or_sensitivity,domain_predicate,exact_dependency_member
DOT(ece28),C1,ece28,ece28,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece28:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece29),C1,ece29,ece29,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece29:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece30),C1,ece30,ece30,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece30:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece31),C1,ece31,ece31,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece31:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece32),C1,ece32,ece32,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece32:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece33),C1,ece33,ece33,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece33:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece34),C1,ece34,ece34,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece34:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece35),C1,ece35,ece35,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece35:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece36),C1,ece36,ece36,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece36:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece37),C1,ece37,ece37,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece37:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece38),C1,ece38,ece38,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece38:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece39),C1,ece39,ece39,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece39:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece40),C1,ece40,ece40,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece40:ece_te_profile,False,False,False,PRIMARY,,
DOT(cerqrott3),C1,cerqrott3,cerqrott3,1,1,(m s^-1) T^-1,m/s/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,10.0,cerqrott3:cer_rotation_ti,True,False,False,PRIMARY,,
DOT(cerqrott6),C1,cerqrott6,cerqrott6,1,1,(m s^-1) T^-1,m/s/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,9.98003992015968,cerqrott6:cer_rotation_ti,True,False,False,PRIMARY,,
DOT(cerqrott8),C1,cerqrott8,cerqrott8,1,1,(m s^-1) T^-1,m/s/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,9.973614775725594,cerqrott8:cer_rotation_ti,True,False,False,PRIMARY,,
DOT(cerqrott10),C1,cerqrott10,cerqrott10,1,1,(m s^-1) T^-1,m/s/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,9.973614775725594,cerqrott10:cer_rotation_ti,True,False,False,PRIMARY,,
DOT(cerqrott11),C1,cerqrott11,cerqrott11,1,1,(m s^-1) T^-1,m/s/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,9.973614775725594,cerqrott11:cer_rotation_ti,True,False,False,PRIMARY,,
DOT(cerqrott12),C1,cerqrott12,cerqrott12,1,1,(m s^-1) T^-1,m/s/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,9.973614775725594,cerqrott12:cer_rotation_ti,True,False,False,PRIMARY,,
DOT(cerqrott13),C1,cerqrott13,cerqrott13,1,1,(m s^-1) T^-1,m/s/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,9.973614775725594,cerqrott13:cer_rotation_ti,True,False,False,PRIMARY,,
DOT(cerqtit3),C1,cerqtit3,cerqtit3,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,10.0,cerqtit3:cer_rotation_ti,True,False,False,PRIMARY,,
DOT(cerqtit6),C1,cerqtit6,cerqtit6,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,9.98003992015968,cerqtit6:cer_rotation_ti,True,False,False,PRIMARY,,
DOT(cerqtit8),C1,cerqtit8,cerqtit8,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,9.973614775725594,cerqtit8:cer_rotation_ti,True,False,False,PRIMARY,,
DOT(cerqtit10),C1,cerqtit10,cerqtit10,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,9.973614775725594,cerqtit10:cer_rotation_ti,True,False,False,PRIMARY,,
DOT(cerqtit11),C1,cerqtit11,cerqtit11,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,9.973614775725594,cerqtit11:cer_rotation_ti,True,False,False,PRIMARY,,
DOT(cerqtit12),C1,cerqtit12,cerqtit12,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,9.973614775725594,cerqtit12:cer_rotation_ti,True,False,False,PRIMARY,,
DOT(cerqtit13),C1,cerqtit13,cerqtit13,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,9.973614775725594,cerqtit13:cer_rotation_ti,True,False,False,PRIMARY,,
"PROD(bt,ip)",C2,bt|ip,bt|ip,2,1,(T)*(A),T*A,coarser_of_operands,0.4999999999999999,bt:magnetics|ip:magnetics,True,False,False,PRIMARY,,
"PROD(bt,prmtan_neped)",C2,bt|prmtan_neped,bt|prmtan_neped,2,1,(T)*(m^-3),T*m^-3,coarser_of_operands,13.267605633802816,bt:magnetics|prmtan_neped:density,True,True,False,PRIMARY,,
"PROD(bt,prmtan_teped)",C2,bt|prmtan_teped,bt|prmtan_teped,2,1,(T)*(eV),T*eV,coarser_of_operands,14.186746987951809,bt:magnetics|prmtan_teped:density,True,True,False,PRIMARY,,
