representation,learner,trajectory,rmse,r2,n
C_star,MLP(seed=1),traj_047,0.027257552780483002,0.9999910562668398,2126
C_star,MLP(seed=2),traj_001,0.021575734101353657,0.9999944445603908,2110
C_star,MLP(seed=2),traj_009,0.017678047131345524,0.9999960706644825,2116
C_star,MLP(seed=2),traj_016,0.018489068822081733,0.9999960130023126,2151
C_star,MLP(seed=2),traj_025,0.01783116732104875,0.9999961566902279,2141
C_star,MLP(seed=2),traj_029,0.02047178003253312,0.9999943505665525,2146
C_star,MLP(seed=2),traj_033,0.018913853893018886,0.9999959855610753,2114
C_star,MLP(seed=2),traj_042,0.025054362829457225,0.9999916407267677,2098
C_star,MLP(seed=2),traj_047,0.01812682116313007,0.9999960446182069,2126
C_star,MLP(seed=3),traj_001,0.030543381843498228,0.9999888667615288,2110
C_star,MLP(seed=3),traj_009,0.02814263129827472,0.9999900418207164,2116
C_star,MLP(seed=3),traj_016,0.028882892504851612,0.9999902703487537,2151
C_star,MLP(seed=3),traj_025,0.02767420387307195,0.9999907424490349,2141
C_star,MLP(seed=3),traj_029,0.027500304870029576,0.9999898054349614,2146
C_star,MLP(seed=3),traj_033,0.028405123109363033,0.9999909456318887,2114
C_star,MLP(seed=3),traj_042,0.03152546646961449,0.9999867649727837,2098
C_star,MLP(seed=3),traj_047,0.027743876774915004,0.9999907342750598,2126
C_star,MLP(seed=4),traj_001,0.03913577916604534,0.9999817217237021,2110
C_star,MLP(seed=4),traj_009,0.03523585553526566,0.9999843893789795,2116
C_star,MLP(seed=4),traj_016,0.03794259476429528,0.9999832092552094,2151
C_star,MLP(seed=4),traj_025,0.036385046108964494,0.9999839973576605,2141
C_star,MLP(seed=4),traj_029,0.03604200899221458,0.9999824889710783,2146
C_star,MLP(seed=4),traj_033,0.03759414975983365,0.9999841399216081,2114
C_star,MLP(seed=4),traj_042,0.042123917258606175,0.9999763702406864,2098
C_star,MLP(seed=4),traj_047,0.03622045019307764,0.9999842074304605,2126
