regime,representation,learner,trajectory,rmse,nrmse,n
noise_0.01,C0_poly3,STLSQ,conf_018,2.9565894260507304,0.32706598125034547,2397
noise_0.01,C0_poly3,STLSQ,conf_019,3.0928057519071,0.3394414349992809,2397
noise_0.01,C0_poly3,STLSQ,conf_020,3.10829521034192,0.35909595645145365,2397
noise_0.01,C0_poly3,STLSQ,conf_021,2.7963941832050994,0.33184280562485435,2397
noise_0.01,C0_poly3,STLSQ,conf_022,2.715832641780614,0.3187509146206502,2397
noise_0.01,C0_poly3,STLSQ,conf_023,3.0802323167174968,0.3385515722519901,2397
noise_0.01,C_all,STLSQ,conf_000,2.489100622704337,0.2835688987444018,2032
noise_0.01,C_all,STLSQ,conf_001,1.8378414210979106,0.19923551097230008,2059
noise_0.01,C_all,STLSQ,conf_002,1.540147251061554,0.20333293905895383,2094
noise_0.01,C_all,STLSQ,conf_003,2.247587040495966,0.2822590318540325,2050
noise_0.01,C_all,STLSQ,conf_004,2.319666190111317,0.2598139172817195,2056
noise_0.01,C_all,STLSQ,conf_005,2.163942278640746,0.251084857348604,2010
noise_0.01,C_all,STLSQ,conf_006,2.477635520894754,0.27000127788797895,2075
noise_0.01,C_all,STLSQ,conf_007,2.571132985894416,0.32338770763852165,2024
noise_0.01,C_all,STLSQ,conf_008,2.2261458678017547,0.25908806424133474,2068
noise_0.01,C_all,STLSQ,conf_009,2.0868661391520233,0.23595883460075903,2077
noise_0.01,C_all,STLSQ,conf_010,2.430530530533662,0.2885843506585365,2055
noise_0.01,C_all,STLSQ,conf_011,2.303320556716992,0.2604110623925208,2056
noise_0.01,C_all,STLSQ,conf_012,1.9890218040334373,0.21333967198425163,2045
noise_0.01,C_all,STLSQ,conf_013,2.23491874527907,0.24559559887358756,2077
noise_0.01,C_all,STLSQ,conf_014,2.5100178828296755,0.3037905407972379,2030
noise_0.01,C_all,STLSQ,conf_015,2.5672141200908727,0.26920774328628344,2008
noise_0.01,C_all,STLSQ,conf_016,2.248102145603624,0.26534118185125183,2080
noise_0.01,C_all,STLSQ,conf_017,2.3151181877555733,0.2611877428866296,2067
noise_0.01,C_all,STLSQ,conf_018,2.028928625059933,0.21640636925159426,2099
noise_0.01,C_all,STLSQ,conf_019,2.115473400802345,0.22299371990219874,2062
noise_0.01,C_all,STLSQ,conf_020,2.4720528887129887,0.28015608240764217,2095
noise_0.01,C_all,STLSQ,conf_021,2.027700531604974,0.2339531794445472,2092
noise_0.01,C_all,STLSQ,conf_022,2.052484535698657,0.23270268739031688,2107
noise_0.01,C_all,STLSQ,conf_023,2.3479883316888728,0.24922310884867316,2068
noise_0.01,C*_accuracy,STLSQ,conf_000,2.489100622704337,0.2835688987444018,2032
noise_0.01,C*_accuracy,STLSQ,conf_001,1.8378414210979106,0.19923551097230008,2059
noise_0.01,C*_accuracy,STLSQ,conf_002,1.540147251061554,0.20333293905895383,2094
noise_0.01,C*_accuracy,STLSQ,conf_003,2.247587040495966,0.2822590318540325,2050
noise_0.01,C*_accuracy,STLSQ,conf_004,2.319666190111317,0.2598139172817195,2056
noise_0.01,C*_accuracy,STLSQ,conf_005,2.163942278640746,0.251084857348604,2010
noise_0.01,C*_accuracy,STLSQ,conf_006,2.477635520894754,0.27000127788797895,2075
noise_0.01,C*_accuracy,STLSQ,conf_007,2.571132985894416,0.32338770763852165,2024
noise_0.01,C*_accuracy,STLSQ,conf_008,2.2261458678017547,0.25908806424133474,2068
noise_0.01,C*_accuracy,STLSQ,conf_009,2.0868661391520233,0.23595883460075903,2077
noise_0.01,C*_accuracy,STLSQ,conf_010,2.430530530533662,0.2885843506585365,2055
noise_0.01,C*_accuracy,STLSQ,conf_011,2.303320556716992,0.2604110623925208,2056
noise_0.01,C*_accuracy,STLSQ,conf_012,1.9890218040334373,0.21333967198425163,2045
noise_0.01,C*_accuracy,STLSQ,conf_013,2.23491874527907,0.24559559887358756,2077
noise_0.01,C*_accuracy,STLSQ,conf_014,2.5100178828296755,0.3037905407972379,2030
noise_0.01,C*_accuracy,STLSQ,conf_015,2.5672141200908727,0.26920774328628344,2008
noise_0.01,C*_accuracy,STLSQ,conf_016,2.248102145603624,0.26534118185125183,2080
noise_0.01,C*_accuracy,STLSQ,conf_017,2.3151181877555733,0.2611877428866296,2067
noise_0.01,C*_accuracy,STLSQ,conf_018,2.028928625059933,0.21640636925159426,2099
noise_0.01,C*_accuracy,STLSQ,conf_019,2.115473400802345,0.22299371990219874,2062
noise_0.01,C*_accuracy,STLSQ,conf_020,2.4720528887129887,0.28015608240764217,2095
noise_0.01,C*_accuracy,STLSQ,conf_021,2.027700531604974,0.2339531794445472,2092
noise_0.01,C*_accuracy,STLSQ,conf_022,2.052484535698657,0.23270268739031688,2107
noise_0.01,C*_accuracy,STLSQ,conf_023,2.3479883316888728,0.24922310884867316,2068
noise_0.01,C*_compact,STLSQ,conf_000,5.401725293656698,0.6280654493262722,2250
noise_0.01,C*_compact,STLSQ,conf_001,5.335825786064344,0.5865228520670597,2259
noise_0.01,C*_compact,STLSQ,conf_002,3.9809276902870208,0.5369535982792326,2327
noise_0.01,C*_compact,STLSQ,conf_003,4.297882634277078,0.550131135727854,2253
