shot,signal,rel_scatter_ip_removed,abs_corr_with_ip_form
165043,kappa,,0.056577519031184936
165043,pcdiamag3,,0.5198410401558694
165043,pinj,,0.6842603894939838
165043,density,,0.7545791344769188
165860,q95,0.0683017734398437,0.9671704556629916
165860,betan,0.4852380159694684,0.652298566925255
165860,li,,0.1627733756709125
165860,kappa,,0.33705320273647316
165860,pcdiamag3,,0.5014051826795443
165860,pinj,,0.6692737011176726
165860,density,,0.7780557744789909
165861,q95,0.07680648054142357,0.9653885777783697
165861,betan,0.4763827564048216,0.6313385332535822
165861,li,,0.06831679798120087
165861,kappa,,0.560244974449216
165861,pcdiamag3,,0.5026898221140365
165861,pinj,,0.6720011054884859
165861,density,,0.7599502265581511
165955,q95,0.06796499468824953,0.9551068045460973
165955,betan,0.49249446260393764,0.6909835220284521
165955,li,,0.13858925155303103
165955,kappa,,0.6095525215748205
165955,pcdiamag3,,0.5291347635956589
165955,pinj,,0.7336664477025533
165955,density,,0.825885392082851
165965,q95,0.06697532652719873,0.962495061585451
165965,betan,0.4867072471831936,0.6807175605483488
165965,li,,0.4325356401207459
165965,kappa,,0.5966345710174853
165965,pcdiamag3,,0.5374148917680195
165965,pinj,,0.6796860556285167
165965,density,,0.8379237864448182
170394,q95,0.08166056008785362,0.9442850669078393
170394,betan,0.4830907645641784,0.6639516259397377
170394,li,,0.03386055376098776
170394,kappa,,0.5450089496368867
170394,pcdiamag3,,0.5470175486486252
170394,pinj,,0.7210241293318443
170394,density,,0.710836739969865
170396,q95,0.0791872393292524,0.9380778340557765
170396,betan,0.4777886104797336,0.6687694762066242
170396,li,,0.16389640969647828
170396,kappa,,0.5552592304880376
170396,pcdiamag3,,0.5459337796414896
170396,pinj,,0.7133839167898393
170396,density,,0.7781327836909311
170411,q95,0.0780421102206201,0.9355193749592584
170411,betan,0.4758273927227499,0.6734772787402832
170411,li,,0.21385498060309852
170411,kappa,,0.49643183619467945
170411,pcdiamag3,,0.550232416157943
170411,pinj,,0.7287201307690729
170411,density,,0.7839787690352682
186997,q95,0.09835389605205667,0.8033210459557653
186997,betan,0.4422743170643217,0.6517565267810752
186997,li,,0.021399965897752737
186997,kappa,,0.6205456930391391
186997,pcdiamag3,,0.5529459919790201
