target,shot_id,rrv,n_grid_samples,grid_dt_ms
prmtan_neped,160715,0.19781684099851227,215,20.0
prmtan_neped,160720,0.32523474922752643,215,20.0
prmtan_neped,161138,0.13669800173513844,188,20.0
prmtan_neped,165022,0.19773718573385182,214,20.0
prmtan_neped,165028,0.17630729578709564,215,20.0
prmtan_neped,165042,0.16106531897603113,214,20.0
prmtan_neped,165861,0.11780856555586443,215,20.0
prmtan_neped,170396,0.28803540811780076,230,20.0
prmtan_neped,187017,0.2632335725396776,250,20.0
prmtan_neped,187020,0.17299597915212764,257,20.0
prmtan_neped,187024,0.12178967818654954,257,20.0
prmtan_neped,189647,0.26112890479390694,218,20.0
prmtan_neped,189651,0.138800326910479,218,20.0
prmtan_neped,195264,0.19491798645610175,264,20.0
prmtan_neped,195267,0.26562257118832744,268,20.0
prmtan_neped,195273,0.2022062269009489,268,20.0
prmtan_neped,195638,0.1978319543830619,238,20.0
prmtan_neped,195647,0.11804490086655056,238,20.0
prmtan_neped,195650,0.14515137839667322,238,20.0
prmtan_neped,195655,0.18947524183523284,239,20.0
prmtan_teped,160715,0.3651572039890428,215,20.0
prmtan_teped,160720,0.4712580940773765,215,20.0
prmtan_teped,161138,0.21265964464021284,188,20.0
prmtan_teped,165022,0.2585373260674706,214,20.0
prmtan_teped,165028,0.27300025520573207,215,20.0
prmtan_teped,165042,0.21526169867849848,214,20.0
prmtan_teped,165861,0.18758996389017968,215,20.0
prmtan_teped,170396,0.35920429592746445,230,20.0
prmtan_teped,187017,0.3040642790522758,250,20.0
prmtan_teped,187020,0.2740472468301554,257,20.0
prmtan_teped,187024,0.22516439270225996,257,20.0
prmtan_teped,189647,0.23455907149722516,218,20.0
prmtan_teped,189651,0.30774612068919127,218,20.0
prmtan_teped,195264,0.3649810392040165,264,20.0
prmtan_teped,195267,0.5038463413923688,268,20.0
prmtan_teped,195273,0.47557351759048433,268,20.0
prmtan_teped,195638,0.34117750841686245,238,20.0
prmtan_teped,195647,0.25493141879814557,238,20.0
prmtan_teped,195650,0.3499052910673167,238,20.0
prmtan_teped,195655,0.4595335590394442,239,20.0
fs04,160715,0.2283535970022117,215,20.0
fs04,160720,0.3913000736579966,215,20.0
fs04,161138,0.2456157298213135,188,20.0
fs04,165022,0.27333469478871086,214,20.0
fs04,165028,0.3287320749290256,215,20.0
fs04,165042,0.23596824814600018,214,20.0
fs04,165861,0.32905471293779187,215,20.0
fs04,170396,0.24970757305378302,230,20.0
fs04,187017,0.6434528419523771,250,20.0
fs04,187020,0.4880399716691297,257,20.0
fs04,187024,0.48371947027462053,257,20.0
fs04,189647,0.30629777707489714,218,20.0
fs04,189651,0.19824912654972787,218,20.0
fs04,195264,0.4372740482161531,264,20.0
fs04,195267,0.42440836311493296,268,20.0
fs04,195273,0.3408655158072579,268,20.0
fs04,195638,0.3919435727864807,238,20.0
fs04,195647,0.41504618363322393,238,20.0
fs04,195650,0.3336895973444663,238,20.0
fs04,195655,0.18335267820805048,239,20.0
fs03da,160715,0.17931046808419432,215,20.0
fs03da,160720,0.24952341962111102,215,20.0
fs03da,161138,0.2948141083350317,188,20.0
fs03da,165022,0.2255070581829353,214,20.0
fs03da,165028,0.25656630864039526,215,20.0
fs03da,165042,0.21351744078217846,214,20.0
fs03da,165861,0.27794888865139955,215,20.0
fs03da,170396,0.19687723316169206,230,20.0
fs03da,187017,0.6158810019190989,250,20.0
fs03da,187020,0.45661343117339054,257,20.0
fs03da,187024,0.42567130415712545,257,20.0
fs03da,189647,0.3338553730921006,218,20.0
fs03da,189651,0.12951311998727066,218,20.0
fs03da,195264,0.0,264,20.0
fs03da,195267,0.4217693231114178,268,20.0
fs03da,195273,0.2838329512164271,268,20.0
fs03da,195638,0.20588631693451717,238,20.0
fs03da,195647,0.11734122341439422,238,20.0
fs03da,195650,0.18059574615616233,238,20.0
fs03da,195655,0.2227294767324732,239,20.0
fs04da,160715,0.2283535970022117,215,20.0
fs04da,160720,0.3913000736579966,215,20.0
fs04da,161138,0.2456157298213135,188,20.0
fs04da,165022,0.27333469478871086,214,20.0
fs04da,165028,0.3287320749290256,215,20.0
fs04da,165042,0.23596824814600018,214,20.0
fs04da,165861,0.32905471293779187,215,20.0
