canonical_or_augmentation,noise_sigma,noise_percent,noise_replicate,dev_noise_seed,conf_noise_seed,representation_id,representation_label,n_coordinates,n_features,n_active_terms,stlsq_threshold,estimator,cohort,trajectory_id,support_scope,rmse,nrmse,n_samples
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_023,native,3.507343440905525e-05,3.786864305228573e-06,2246
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_023,common,3.541980110777934e-05,3.7582447717610127e-06,2107
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_000,native,1.5285204928035807e-05,1.7331590096370169e-06,2067
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_000,common,1.5285204928035807e-05,1.7331590096370169e-06,2067
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_001,native,1.1423147677802105e-05,1.2353452426658992e-06,2123
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_001,common,1.1423147677802105e-05,1.2353452426658992e-06,2123
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_002,native,9.467291277263218e-06,1.2451320539038717e-06,2139
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_002,common,9.467291277263218e-06,1.2451320539038717e-06,2139
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_003,native,1.293621779974234e-05,1.615112345500306e-06,2072
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_003,common,1.293621779974234e-05,1.615112345500306e-06,2072
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_004,native,1.2349759953694517e-05,1.3730388452068086e-06,2092
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_004,common,1.2349759953694517e-05,1.3730388452068086e-06,2092
