analysis,realization_index,shot,parameter,feature,display_name,coefficient,canonical_coefficient
fixed_rank,2,160715,6.0,d[betan]/d[t],dot beta_N,0.1179405823442087,-0.1744515122300516
fixed_rank,2,160715,6.0,d[li]/d[betan],D_betaN l_i,-0.03320877312859463,-0.0095744479721841
fixed_rank,2,160715,5.0,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.805604134842586,0.4676499134893681
fixed_rank,2,160715,5.0,d[kappa]/d[t],dot kappa,0.5413201757940662,1.0561295773182957
fixed_rank,2,160715,5.0,r[q95]/r[kappa],q95 / kappa,-0.007378170896736591,-0.0036094075302998
fixed_rank,2,160715,5.0,d[pcdiamag3]/d[betan],D_betaN W_dia,0.6521709328255437,1.1047516146989054
fixed_rank,2,160715,5.0,d[kappa]/d[betan],D_betaN kappa,0.09028262300852127,-1.1208812821514549
fixed_rank,2,160715,5.0,d[betan]/d[t],dot beta_N,0.3573592211477699,-0.1744515122300516
fixed_rank,2,160715,5.0,d[li]/d[betan],D_betaN l_i,-0.051477161920752024,-0.0095744479721841
fixed_rank,2,160715,4.0,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.5252979494973938,0.4676499134893681
fixed_rank,2,160715,4.0,d[kappa]/d[t],dot kappa,0.24773957723471351,1.0561295773182957
fixed_rank,2,160715,4.0,r[q95]/r[kappa],q95 / kappa,0.1299754277075132,-0.0036094075302998
fixed_rank,2,160715,4.0,d[pcdiamag3]/d[betan],D_betaN W_dia,0.5505188431974537,1.1047516146989054
fixed_rank,2,160715,4.0,d[kappa]/d[betan],D_betaN kappa,0.21656001970713146,-1.1208812821514549
fixed_rank,2,160715,4.0,d[betan]/d[t],dot beta_N,-0.15079993799385943,-0.1744515122300516
fixed_rank,2,160715,4.0,d[li]/d[betan],D_betaN l_i,-0.4191468487589172,-0.0095744479721841
fixed_threshold,3,160717,0.001,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.33230297032735323,0.332302970327353
fixed_threshold,3,160717,0.001,d[kappa]/d[t],dot kappa,1.253558674496917,1.2535586744969165
fixed_threshold,3,160717,0.001,r[q95]/r[kappa],q95 / kappa,0.01945218960913878,0.0194521896091375
fixed_threshold,3,160717,0.001,d[pcdiamag3]/d[betan],D_betaN W_dia,1.3228490485203546,1.3228490485203557
fixed_threshold,3,160717,0.001,d[kappa]/d[betan],D_betaN kappa,-1.532932479178651,-1.5329324791786494
fixed_threshold,3,160717,0.001,d[betan]/d[t],dot beta_N,-0.4141848533263791,-0.4141848533263781
fixed_threshold,3,160717,0.001,d[li]/d[betan],D_betaN l_i,-0.05577429562346294,-0.0557742956234631
fixed_threshold,3,160717,0.005,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.33230297032735323,0.332302970327353
fixed_threshold,3,160717,0.005,d[kappa]/d[t],dot kappa,1.253558674496917,1.2535586744969165
fixed_threshold,3,160717,0.005,r[q95]/r[kappa],q95 / kappa,0.01945218960913878,0.0194521896091375
fixed_threshold,3,160717,0.005,d[pcdiamag3]/d[betan],D_betaN W_dia,1.3228490485203546,1.3228490485203557
fixed_threshold,3,160717,0.005,d[kappa]/d[betan],D_betaN kappa,-1.532932479178651,-1.5329324791786494
fixed_threshold,3,160717,0.005,d[betan]/d[t],dot beta_N,-0.4141848533263791,-0.4141848533263781
fixed_threshold,3,160717,0.005,d[li]/d[betan],D_betaN l_i,-0.05577429562346294,-0.0557742956234631
fixed_threshold,3,160717,0.01,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.33230297032735323,0.332302970327353
fixed_threshold,3,160717,0.01,d[kappa]/d[t],dot kappa,1.253558674496917,1.2535586744969165
fixed_threshold,3,160717,0.01,r[q95]/r[kappa],q95 / kappa,0.01945218960913878,0.0194521896091375
fixed_threshold,3,160717,0.01,d[pcdiamag3]/d[betan],D_betaN W_dia,1.3228490485203546,1.3228490485203557
fixed_threshold,3,160717,0.01,d[kappa]/d[betan],D_betaN kappa,-1.532932479178651,-1.5329324791786494
fixed_threshold,3,160717,0.01,d[betan]/d[t],dot beta_N,-0.4141848533263791,-0.4141848533263781
fixed_threshold,3,160717,0.01,d[li]/d[betan],D_betaN l_i,-0.05577429562346294,-0.0557742956234631
fixed_threshold,3,160717,0.02,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.33230297032735323,0.332302970327353
