analysis,realization_index,shot,parameter,feature,display_name,canonical,truncated
fixed_threshold,29,187018,0.05,d[kappa]/d[betan],D_betaN kappa,-1.5464043552594489,0.1068996646540149
fixed_threshold,29,187018,0.05,d[betan]/d[t],dot beta_N,-0.3525545219402431,0.3640551149761573
fixed_threshold,29,187018,0.1,d[kappa]/d[betan],D_betaN kappa,-1.5464043552594489,0.1068996646540149
fixed_threshold,29,187018,0.1,d[betan]/d[t],dot beta_N,-0.3525545219402431,0.3640551149761573
fixed_rank,29,187018,6.0,d[kappa]/d[betan],D_betaN kappa,-1.5464043552594489,0.08946256862872386
fixed_rank,29,187018,6.0,d[betan]/d[t],dot beta_N,-0.3525545219402431,0.2877932619559654
fixed_rank,29,187018,5.0,d[kappa]/d[betan],D_betaN kappa,-1.5464043552594489,0.1068996646540149
fixed_rank,29,187018,5.0,d[betan]/d[t],dot beta_N,-0.3525545219402431,0.3640551149761573
fixed_rank,29,187018,4.0,r[q95]/r[kappa],q95 / kappa,-0.018508956888874,0.062270956201104566
fixed_rank,29,187018,4.0,d[kappa]/d[betan],D_betaN kappa,-1.5464043552594489,0.16390530499680567
fixed_rank,29,187018,4.0,d[betan]/d[t],dot beta_N,-0.3525545219402431,0.06749107492869216
fixed_threshold,30,187019,0.02,d[betan]/d[t],dot beta_N,-0.3353661538907004,0.14271141343273347
fixed_threshold,30,187019,0.05,d[kappa]/d[betan],D_betaN kappa,-1.633093964043033,0.0917031228306271
fixed_threshold,30,187019,0.05,d[betan]/d[t],dot beta_N,-0.3353661538907004,0.3781061340874568
fixed_threshold,30,187019,0.1,d[kappa]/d[betan],D_betaN kappa,-1.633093964043033,0.0917031228306271
fixed_threshold,30,187019,0.1,d[betan]/d[t],dot beta_N,-0.3353661538907004,0.3781061340874568
fixed_rank,30,187019,6.0,d[betan]/d[t],dot beta_N,-0.3353661538907004,0.14271141343273347
fixed_rank,30,187019,5.0,d[kappa]/d[betan],D_betaN kappa,-1.633093964043033,0.0917031228306271
fixed_rank,30,187019,5.0,d[betan]/d[t],dot beta_N,-0.3353661538907004,0.3781061340874568
fixed_rank,30,187019,4.0,r[q95]/r[kappa],q95 / kappa,-0.0116296750594779,0.1503001336008617
fixed_rank,30,187019,4.0,d[kappa]/d[betan],D_betaN kappa,-1.633093964043033,0.15204909817450804
fixed_rank,30,187019,4.0,d[betan]/d[t],dot beta_N,-0.3353661538907004,0.03355025624704563
fixed_threshold,31,187020,0.02,d[betan]/d[t],dot beta_N,-0.4373912199741701,0.049525593941828594
fixed_threshold,31,187020,0.05,d[betan]/d[t],dot beta_N,-0.4373912199741701,0.049525593941828594
fixed_threshold,31,187020,0.1,d[kappa]/d[betan],D_betaN kappa,-1.554678648946777,0.11080142039918965
fixed_threshold,31,187020,0.1,d[betan]/d[t],dot beta_N,-0.4373912199741701,0.36840581559801777
fixed_rank,31,187020,6.0,d[betan]/d[t],dot beta_N,-0.4373912199741701,0.049525593941828594
fixed_rank,31,187020,5.0,d[kappa]/d[betan],D_betaN kappa,-1.554678648946777,0.11080142039918965
fixed_rank,31,187020,5.0,d[betan]/d[t],dot beta_N,-0.4373912199741701,0.36840581559801777
fixed_rank,31,187020,4.0,r[q95]/r[kappa],q95 / kappa,-0.0349747691682321,0.06171313158842717
fixed_rank,31,187020,4.0,d[kappa]/d[betan],D_betaN kappa,-1.554678648946777,0.1914100562829445
fixed_threshold,32,187021,0.02,d[kappa]/d[betan],D_betaN kappa,-1.4761621297793268,0.0036665136747501686
fixed_threshold,32,187021,0.02,d[betan]/d[t],dot beta_N,-0.3916971472813932,0.11938117326719444
fixed_threshold,32,187021,0.05,d[kappa]/d[betan],D_betaN kappa,-1.4761621297793268,0.10788815269463516
fixed_threshold,32,187021,0.05,d[betan]/d[t],dot beta_N,-0.3916971472813932,0.37060464360892514
fixed_threshold,32,187021,0.1,d[kappa]/d[betan],D_betaN kappa,-1.4761621297793268,0.10788815269463516
fixed_threshold,32,187021,0.1,d[betan]/d[t],dot beta_N,-0.3916971472813932,0.37060464360892514
fixed_rank,32,187021,6.0,d[kappa]/d[betan],D_betaN kappa,-1.4761621297793268,0.0036665136747501686
fixed_rank,32,187021,6.0,d[betan]/d[t],dot beta_N,-0.3916971472813932,0.11938117326719444
fixed_rank,32,187021,5.0,d[kappa]/d[betan],D_betaN kappa,-1.4761621297793268,0.10788815269463516
fixed_rank,32,187021,5.0,d[betan]/d[t],dot beta_N,-0.3916971472813932,0.37060464360892514
fixed_rank,32,187021,4.0,r[q95]/r[kappa],q95 / kappa,-0.0264038399139847,0.10487963896405483
fixed_rank,32,187021,4.0,d[kappa]/d[betan],D_betaN kappa,-1.4761621297793268,0.17311834520195374
fixed_rank,32,187021,4.0,d[betan]/d[t],dot beta_N,-0.3916971472813932,0.011237788459344235
fixed_threshold,33,187022,0.05,d[kappa]/d[betan],D_betaN kappa,-1.7815194439335582,0.11304407181110275
fixed_threshold,33,187022,0.05,d[betan]/d[t],dot beta_N,-0.4493563972326883,0.33487681647602197
fixed_threshold,33,187022,0.1,d[kappa]/d[betan],D_betaN kappa,-1.7815194439335582,0.11304407181110275
fixed_threshold,33,187022,0.1,d[betan]/d[t],dot beta_N,-0.4493563972326883,0.33487681647602197
fixed_rank,33,187022,6.0,d[kappa]/d[betan],D_betaN kappa,-1.7815194439335582,0.05768747143707503
fixed_rank,33,187022,6.0,d[betan]/d[t],dot beta_N,-0.4493563972326883,0.17618805821247346
fixed_rank,33,187022,5.0,d[kappa]/d[betan],D_betaN kappa,-1.7815194439335582,0.11304407181110275
fixed_rank,33,187022,5.0,d[betan]/d[t],dot beta_N,-0.4493563972326883,0.33487681647602197
fixed_rank,33,187022,4.0,r[q95]/r[kappa],q95 / kappa,-0.0144706957284778,0.0416744297759348
fixed_rank,33,187022,4.0,d[kappa]/d[betan],D_betaN kappa,-1.7815194439335582,0.19865700440692446
fixed_rank,33,187022,4.0,d[betan]/d[t],dot beta_N,-0.4493563972326883,0.01794719156736785
fixed_threshold,34,187024,0.05,d[betan]/d[t],dot beta_N,-0.0528793006812356,0.07150870635672552
fixed_threshold,34,187024,0.1,d[kappa]/d[betan],D_betaN kappa,-0.9218640099017924,0.11893486026248723
fixed_threshold,34,187024,0.1,d[betan]/d[t],dot beta_N,-0.0528793006812356,0.37487664718004715
fixed_rank,34,187024,6.0,d[betan]/d[t],dot beta_N,-0.0528793006812356,0.07150870635672552
fixed_rank,34,187024,5.0,d[kappa]/d[betan],D_betaN kappa,-0.9218640099017924,0.11893486026248723
fixed_rank,34,187024,5.0,d[betan]/d[t],dot beta_N,-0.0528793006812356,0.37487664718004715
fixed_rank,34,187024,4.0,r[q95]/r[kappa],q95 / kappa,-0.0420060306641281,0.08119016371748308
fixed_rank,34,187024,4.0,d[kappa]/d[betan],D_betaN kappa,-0.9218640099017924,0.1785547620454544
fixed_rank,34,187024,4.0,d[betan]/d[t],dot beta_N,-0.0528793006812356,0.054503963759205964
fixed_threshold,35,189646,0.05,d[kappa]/d[betan],D_betaN kappa,-0.9457632816479916,0.061805982757526995
fixed_threshold,35,189646,0.1,d[kappa]/d[betan],D_betaN kappa,-0.9457632816479916,0.061805982757526995
