canonical_or_augmentation,noise_sigma,noise_percent,noise_replicate,noise_seed,trajectory_id,representation_id,representation_label,support_scope,rmse,estimator,cohort
canonical,0.0,0.0,0,,conf_003,C*_robust,q_rob -> C_all (38),native,1.293621779974234e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_004,C*_robust,q_rob -> C_all (38),native,1.2349759953694517e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_005,C*_robust,q_rob -> C_all (38),native,1.2139536824990871e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_006,C*_robust,q_rob -> C_all (38),native,1.3171964014666498e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_007,C*_robust,q_rob -> C_all (38),native,1.706087999847389e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_008,C*_robust,q_rob -> C_all (38),native,1.1965148531875636e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_009,C*_robust,q_rob -> C_all (38),native,1.2797992907728569e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_010,C*_robust,q_rob -> C_all (38),native,1.807159029856572e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_011,C*_robust,q_rob -> C_all (38),native,1.2299143249985864e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_012,C*_robust,q_rob -> C_all (38),native,1.1624028811768222e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_013,C*_robust,q_rob -> C_all (38),native,1.1927440333824615e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_014,C*_robust,q_rob -> C_all (38),native,2.084607534649262e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_015,C*_robust,q_rob -> C_all (38),native,1.7642163245603848e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_016,C*_robust,q_rob -> C_all (38),native,1.332732419541992e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_017,C*_robust,q_rob -> C_all (38),native,1.2664291723013348e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_018,C*_robust,q_rob -> C_all (38),native,1.1561389701255246e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_019,C*_robust,q_rob -> C_all (38),native,1.1806603234636002e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_020,C*_robust,q_rob -> C_all (38),native,1.3526020819901623e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_021,C*_robust,q_rob -> C_all (38),native,1.1674875498638993e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_022,C*_robust,q_rob -> C_all (38),native,1.0814026132333392e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_023,C*_robust,q_rob -> C_all (38),native,1.2945276068135588e-05,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_000,C0_matched,raw stencil (10),native,8.681130808766548,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_001,C0_matched,raw stencil (10),native,8.883988156996205,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_002,C0_matched,raw stencil (10),native,7.410591802607785,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_003,C0_matched,raw stencil (10),native,7.96710133541846,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_004,C0_matched,raw stencil (10),native,8.699386426984963,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_005,C0_matched,raw stencil (10),native,8.597437658754647,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_006,C0_matched,raw stencil (10),native,8.940158463323911,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_007,C0_matched,raw stencil (10),native,8.08908212322839,pysindy.STLSQ,confirmation_24
