shot_id,era,block,denominator,used_by,finite,rms,no_sign_change,eta,eta_threshold,admissible,failure_reasons
165043,earlier,B,ece22,"RATIO(ip,ece22)",True,3515.3424048171782,True,0.38733307467293454,0.05,True,
165043,earlier,B,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,2.6796068391155757e+19,True,0.27674676817706584,0.05,True,
165043,earlier,C,cerqtit10,RECIP(cerqtit10),True,1318.119641464835,True,0.17047010747714192,0.05,True,
165043,earlier,C,ece22,"RATIO(ip,ece22)",True,3525.8093130766442,True,0.38618321675423706,0.05,True,
165043,earlier,C,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,2.779757046027212e+19,True,0.2667760241026254,0.05,True,
165860,earlier,A,cerqtit10,RECIP(cerqtit10),True,1424.619082087035,True,0.16607947613485066,0.05,True,
165860,earlier,A,ece22,"RATIO(ip,ece22)",True,3989.0481397472436,True,0.4073212604685885,0.05,True,
165860,earlier,A,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,2.3558572586469495e+19,True,0.3031836114327081,0.05,True,
165860,earlier,B,cerqtit10,RECIP(cerqtit10),True,1633.0836279504335,True,0.14487928651986198,0.05,True,
165860,earlier,B,ece22,"RATIO(ip,ece22)",True,3934.3547728929684,True,0.41298363013587025,0.05,True,
165860,earlier,B,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,2.506536268260704e+19,True,0.2849579001672168,0.05,True,
165860,earlier,C,cerqtit10,RECIP(cerqtit10),True,1653.0107760497162,True,0.1431327576763544,0.05,True,
165860,earlier,C,ece22,"RATIO(ip,ece22)",True,3881.7718817388586,True,0.4185779499293703,0.05,True,
165860,earlier,C,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,2.6206440962378072e+19,True,0.2725502912516539,0.05,True,
165955,earlier,A,cerqtit10,RECIP(cerqtit10),True,1434.8507072459697,True,0.15681073916871918,0.05,True,
165955,earlier,A,ece22,"RATIO(ip,ece22)",True,3076.0340065426194,True,0.4139255556975866,0.05,True,
165955,earlier,A,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,2.705077447977216e+19,True,0.42492049388971626,0.05,True,
165955,earlier,B,cerqtit10,RECIP(cerqtit10),True,1659.657589313255,True,0.13557013292910747,0.05,True,
165955,earlier,B,ece22,"RATIO(ip,ece22)",True,3443.6955456703877,True,0.36973334855447065,0.05,True,
