shot_id,era,comparator,NRMSE_REL,NRMSE_comparator,d_s,class
195626,later,B1,0.1402416861252779,0.1248892367830597,0.015352449342218202,LOSS
195642,later,B1,0.0801776221388742,0.063347835942887,0.016829786195987198,LOSS
195645,later,B1,0.1211655672429321,0.1523045374713642,-0.03113897022843208,WIN
195648,later,B1,0.0504973280382959,0.0741234877427319,-0.023626159704436003,WIN
195649,later,B1,0.1013440042194344,0.0740606513956619,0.027283352823772505,LOSS
195651,later,B1,0.1693317910890801,0.1244227213754231,0.04490906971365702,LOSS
195652,later,B1,0.1391419137467811,0.1090100296502777,0.030131884096503386,LOSS
195659,later,B1,0.1308391260664134,0.1378539039569404,-0.007014777890526985,TIE
155537,earlier,B1A,0.0881634176028925,0.3329115742473736,-0.24474815664448113,WIN
159310,earlier,B1A,0.1024085998029482,0.1157117111645618,-0.013303111361613607,WIN
160717,earlier,B1A,0.3667649468845722,0.2910103741430942,0.07575457274147795,LOSS
160719,earlier,B1A,0.1743859588532056,0.2329225556236352,-0.058536596770429605,WIN
160721,earlier,B1A,0.1477670102128884,0.3069642225599076,-0.15919721234701917,WIN
161136,earlier,B1A,0.3507506315519817,0.4352324382730918,-0.08448180672111011,WIN
161145,earlier,B1A,0.1348071042439103,0.2993731457335233,-0.164566041489613,WIN
161414,earlier,B1A,0.1316860054311389,0.2075027991421699,-0.075816793711031,WIN
165017,earlier,B1A,0.2002137627391678,0.5741594632662979,-0.37394570052713005,WIN
165026,earlier,B1A,0.1649247648569792,0.2373468464190657,-0.07242208156208649,WIN
165027,earlier,B1A,0.1190299581843449,0.2887904116648911,-0.1697604534805462,WIN
165029,earlier,B1A,0.1546676472311377,0.2602107746301181,-0.10554312739898039,WIN
165031,earlier,B1A,0.3144382275033943,0.8776916672658365,-0.5632534397624422,WIN
165043,earlier,B1A,0.1597994106811542,0.2462048948367034,-0.08640548415554922,WIN
165860,earlier,B1A,0.1011016505227557,0.2700394586038115,-0.1689378080810558,WIN
165955,earlier,B1A,0.1935103166218603,0.4124311947676389,-0.2189208781457786,WIN
165965,earlier,B1A,0.1897777329274167,0.3812012152808539,-0.19142348235343717,WIN
170394,earlier,B1A,0.2196926846708603,0.1762266875212313,0.04346599714962901,LOSS
170411,earlier,B1A,0.1236438541971501,0.3561411909557081,-0.23249733675855802,WIN
186997,earlier,B1A,0.2431984910921842,0.3182843026172702,-0.075085811525086,WIN
187018,earlier,B1A,0.3085991152311767,0.2622197208191467,0.04637939441203004,LOSS
187019,earlier,B1A,11.952633158377472,0.3256119667215395,11.627021191655933,LOSS
187021,earlier,B1A,0.2339909427410042,0.4104727053238405,-0.1764817625828363,WIN
187022,earlier,B1A,11.766571685014748,0.3612214852515412,11.405350199763207,LOSS
189646,later,B1A,0.2402300600201362,0.206622878526082,0.0336071814940542,LOSS
189649,later,B1A,0.1374895379814073,0.4411695634024834,-0.3036800254210761,WIN
189650,later,B1A,0.1699439778423281,0.5703446712011269,-0.4004006933587988,WIN
189652,later,B1A,0.1781385530057603,0.4529169643592184,-0.27477841135345815,WIN
195261,later,B1A,0.1697792788135332,0.2156722114432031,-0.0458929326296699,WIN
195265,later,B1A,0.1880751743690242,0.5735089520068943,-0.3854337776378701,WIN
195266,later,B1A,0.2512944925106523,0.4948636137863182,-0.24356912127566593,WIN
195268,later,B1A,0.2617329850600386,0.2931147322531499,-0.031381747193111265,WIN
195269,later,B1A,0.2077212378630986,0.4204266618593457,-0.2127054239962471,WIN
195274,later,B1A,0.499649267736147,0.3401113954584572,0.15953787227768979,LOSS
195626,later,B1A,0.1402416861252779,0.2535237173122274,-0.11328203118694949,WIN
