candidate,shot,cohort,target_source_dt_ms,coarsest_predictor_source_dt_ms,binding_signal,required_analysis_dt_ms,n_grid_samples,validation_feasible
ece8,195264,development,0.19999334973731464,6.818181818181818,prmtan_teped,6.818181818181818,775,True
ece8,195267,development,0.19999343163979114,6.869047619047619,prmtan_teped,6.869047619047619,780,True
ece8,195273,development,0.19999343702828642,6.856465005931198,prmtan_teped,6.856465005931198,782,True
ece8,195638,development,0.19999228216408121,6.768377253814147,prmtan_teped,6.768377253814147,704,True
ece8,195647,development,0.19999230562074408,7.149253731343284,cerqrott3,7.149253731343284,669,True
ece8,195650,development,0.19999229821318548,6.648426812585499,prmtan_teped,6.648426812585499,717,True
ece8,195655,development,0.1999923268751199,7.100591715976331,cerqrott3,7.100591715976331,674,True
ece8,155537,external,0.19999181970632748,5.881578947368421,cerqrott3,5.881578947368421,728,True
ece8,159310,external,0.1999921411450352,6.488095238095238,cerqrott3,6.488095238095238,673,True
ece8,160717,external,0.1999918367346939,5.884665792922673,cerqrott3,5.884665792922673,728,True
ece8,160719,external,0.19999187784275504,5.908496732026144,cerqrott3,5.908496732026144,729,True
ece8,160721,external,0.1999918367346939,5.884665792922673,cerqrott3,5.884665792922673,729,True
ece8,161136,external,0.199991991991992,9.973614775725594,cerqrott8,9.973614775725594,380,True
ece8,161145,external,0.199991991991992,9.973614775725594,cerqrott8,9.973614775725594,380,True
ece8,161414,external,0.1999931621593901,6.153846153846154,cerqrott3,6.153846153846154,833,True
ece8,165017,external,0.19999184505606524,5.9523809523809526,cerqrott3,5.9523809523809526,723,True
ece8,165026,external,0.19999184505606524,6.002728512960436,cerqrott3,6.002728512960436,717,True
ece8,165027,external,0.19999184505606524,5.876840696117805,cerqrott3,5.876840696117805,732,True
ece8,165029,external,0.19999184505606524,6.145251396648045,cerqrott3,6.145251396648045,668,True
ece8,165031,external,0.19999184505606524,6.153846153846154,cerqrott3,6.153846153846154,667,True
ece8,165043,external,0.19999184505606524,5.882352941176471,cerqrott3,5.882352941176471,732,True
ece8,165860,external,0.19999184505606524,5.882352941176471,cerqrott3,5.882352941176471,732,True
ece8,165955,external,0.19999184505606524,5.858854860186418,cerqrott3,5.858854860186418,734,True
ece8,165965,external,0.1999918367346939,7.032786885245901,cerqrott13,7.032786885245901,610,True
ece8,170394,external,0.19999203155504205,13.887240356083087,prmtan_teped,13.887240356083087,331,True
