realization_index,shot,sample_index,eps,A_analytical,dG_dy_fd,abs_error
18,165042,243,0.0001,0.12948558101777496,0.12948558101300023,4.774736162005411e-12
17,165031,772,1e-06,-0.02528507004930347,-0.025285071258984715,1.2096812440631766e-09
17,165031,772,1e-05,-0.02528507004930347,-0.025285070015534924,3.3768546986445713e-11
17,165031,772,0.0001,-0.02528507004930347,-0.025285070048841618,4.618527782440651e-13
19,165043,618,1e-06,-0.035068992813909516,-0.0350689914607738,1.3531357145879497e-09
19,165043,618,1e-05,-0.035068992813909516,-0.03506899277083697,4.307254553026496e-11
19,165043,618,0.0001,-0.035068992813909516,-0.03506899281358056,3.289590821964339e-13
31,187020,620,1e-06,-0.006703883184314141,-0.006703883476122385,2.918082442349146e-10
31,187020,620,1e-05,-0.006703883184314141,-0.006703883254771669,7.045752783291226e-11
31,187020,620,0.0001,-0.006703883184314141,-0.006703883181774506,2.5396351688300456e-12
19,165043,904,1e-06,-0.0012182498602577585,-0.0012182503339452921,4.736875336419644e-10
19,165043,904,1e-05,-0.0012182498602577585,-0.001218249784384895,7.587286354748812e-11
19,165043,904,0.0001,-0.0012182498602577585,-0.0012182498593249491,9.328093852900565e-13
39,189651,691,1e-06,-0.020750697666319096,-0.020750697271587626,3.947314697327897e-10
39,189651,691,1e-05,-0.020750697666319096,-0.020750697582450073,8.386902283774589e-11
39,189651,691,0.0001,-0.020750697666319096,-0.020750697663496354,2.8227420401094605e-12
7,161136,940,1e-06,-0.01664613525931835,-0.016646134887166042,3.721523089694756e-10
7,161136,940,1e-05,-0.01664613525931835,-0.0166461353541536,9.483525076348087e-11
7,161136,940,0.0001,-0.01664613525931835,-0.016646135254025363,5.292988269900434e-12
54,195647,816,1e-06,-0.009264164378934181,-0.009264165323763507,9.448293258884632e-10
54,195647,816,1e-05,-0.009264164378934181,-0.009264164391176166,1.2241985203331751e-11
54,195647,816,0.0001,-0.009264164378934181,-0.009264164380073936,1.1397549570801857e-12
21,165861,344,1e-06,0.03681436372682412,0.036814364001713784,2.748896665849543e-10
21,165861,344,1e-05,0.03681436372682412,0.036814363715831355,1.0992762256023525e-11
21,165861,344,0.0001,0.03681436372682412,0.03681436372859892,1.7748025271657752e-12
36,189647,24,1e-06,-0.048721708605307334,-0.04872171013858839,1.5332810576751399e-09
36,189647,24,1e-05,-0.048721708605307334,-0.04872170847325385,1.3205348620148882e-10
36,189647,24,0.0001,-0.048721708605307334,-0.04872170860981129,4.503952766299335e-12
61,195659,690,1e-06,0.05269808814073473,0.05269808922570007,1.0849653397926318e-09
61,195659,690,1e-05,0.05269808814073473,0.05269808814878373,8.048998967336018e-12
61,195659,690,0.0001,0.05269808814073473,0.05269808814101218,2.774447338538266e-13
44,195266,963,1e-06,-0.040299702422724626,-0.04029970213093037,2.917942554248043e-10
44,195266,963,1e-05,-0.040299702422724626,-0.0402997025084062,8.568157294774892e-11
44,195266,963,0.0001,-0.040299702422724626,-0.04029970243180081,9.076184248613117e-12
61,195659,932,1e-06,0.005834908209425338,0.005834908833879382,6.244540440292212e-10
61,195659,932,1e-05,0.005834908209425338,0.005834908011273509,1.9815182914634244e-10
61,195659,932,0.0001,0.005834908209425338,0.005834908208650347,7.749911823395905e-13
2,160715,308,1e-06,0.02965122485666316,0.02965122386511254,9.915506193891588e-10
2,160715,308,1e-05,0.02965122485666316,0.02965122489761995,4.095679004278985e-11
2,160715,308,0.0001,0.02965122485666316,0.02965122485876215,2.098987650356321e-12
52,195642,264,1e-06,-0.009450420791146663,-0.009450421667445141,8.762984782251237e-10
52,195642,264,1e-05,-0.009450420791146663,-0.009450420657142189,1.340044741837687e-10
52,195642,264,0.0001,-0.009450420791146663,-0.009450420793699621,2.5529578451255475e-12
36,189647,497,1e-06,0.06100942144502186,0.0610094208208789,6.241429595377213e-10
36,189647,497,1e-05,0.06100942144502186,0.061009421474869645,2.984778396664112e-11
36,189647,497,0.0001,0.06100942144502186,0.06100942144714877,2.1269097594256436e-12
12,165022,385,1e-06,0.06377706797936877,0.06377706829319152,3.1382274556790435e-10
12,165022,385,1e-05,0.06377706797936877,0.06377706799065574,1.1286971357549191e-11
12,165022,385,0.0001,0.06377706797936877,0.06377706798565974,6.290967746735987e-12
16,165029,516,1e-06,0.05821633573026297,0.05821633619618183,4.659188590494523e-10
16,165029,516,1e-05,0.05821633573026297,0.05821633573196982,1.7068499391648118e-12
16,165029,516,0.0001,0.05821633573026297,0.05821633572974938,5.135891711915974e-13
4,160719,611,1e-06,0.03079065209619236,0.03079065291622385,8.200314871587011e-10
4,160719,611,1e-05,0.03079065209619236,0.030790652127965498,3.1773136205393016e-11
4,160719,611,0.0001,0.03079065209619236,0.030790652097711924,1.5195622538044518e-12
10,161414,826,1e-06,0.010196047731954816,0.010196048672028724,9.400739076070863e-10
10,161414,826,1e-05,0.010196047731954816,0.010196047672828001,5.912681455555457e-11
10,161414,826,0.0001,0.010196047731954816,0.010196047733335156,1.3803402865164571e-12
1,159310,526,1e-06,0.008529962303647887,0.008529961514902595,7.887452913024617e-10
1,159310,526,1e-05,0.008529962303647887,0.008529962401693236,9.804534961688205e-11
1,159310,526,0.0001,0.008529962303647887,0.008529962306769168,3.121281011431165e-12
15,165028,723,1e-06,0.039175003172038925,0.03917500401851015,8.464712264455443e-10
15,165028,723,1e-05,0.039175003172038925,0.03917500316363842,8.400502515826247e-12
