realization_index,shot,tolerance,feature,coefficient,canonical_coefficient,delta
2,160715,1e-10,d[pcdiamag3]/d[kappa],0.4676499134893646,0.46764991348936813,-3.552713678800501e-15
2,160715,1e-10,d[kappa]/d[t],1.0561295773182953,1.0561295773182957,-4.440892098500626e-16
2,160715,1e-10,r[q95]/r[kappa],-0.00360940753029957,-0.0036094075302998685,2.983724378680108e-16
2,160715,1e-10,d[pcdiamag3]/d[betan],1.1047516146989105,1.1047516146989054,5.10702591327572e-15
2,160715,1e-10,d[kappa]/d[betan],-1.1208812821514582,-1.1208812821514549,-3.3306690738754696e-15
2,160715,1e-10,d[betan]/d[t],-0.1744515122300527,-0.17445151223005165,-1.0547118733938987e-15
2,160715,1e-10,d[li]/d[betan],-0.009574447972186685,-0.009574447972184125,-2.5604518505417673e-15
2,160715,1e-08,d[pcdiamag3]/d[kappa],0.4676499134893646,0.46764991348936813,-3.552713678800501e-15
2,160715,1e-08,d[kappa]/d[t],1.0561295773182953,1.0561295773182957,-4.440892098500626e-16
2,160715,1e-08,r[q95]/r[kappa],-0.00360940753029957,-0.0036094075302998685,2.983724378680108e-16
2,160715,1e-08,d[pcdiamag3]/d[betan],1.1047516146989105,1.1047516146989054,5.10702591327572e-15
2,160715,1e-08,d[kappa]/d[betan],-1.1208812821514582,-1.1208812821514549,-3.3306690738754696e-15
2,160715,1e-08,d[betan]/d[t],-0.1744515122300527,-0.17445151223005165,-1.0547118733938987e-15
2,160715,1e-08,d[li]/d[betan],-0.009574447972186685,-0.009574447972184125,-2.5604518505417673e-15
2,160715,1e-06,d[pcdiamag3]/d[kappa],0.4676499134893646,0.46764991348936813,-3.552713678800501e-15
2,160715,1e-06,d[kappa]/d[t],1.0561295773182953,1.0561295773182957,-4.440892098500626e-16
2,160715,1e-06,r[q95]/r[kappa],-0.00360940753029957,-0.0036094075302998685,2.983724378680108e-16
2,160715,1e-06,d[pcdiamag3]/d[betan],1.1047516146989105,1.1047516146989054,5.10702591327572e-15
2,160715,1e-06,d[kappa]/d[betan],-1.1208812821514582,-1.1208812821514549,-3.3306690738754696e-15
2,160715,1e-06,d[betan]/d[t],-0.1744515122300527,-0.17445151223005165,-1.0547118733938987e-15
2,160715,1e-06,d[li]/d[betan],-0.009574447972186685,-0.009574447972184125,-2.5604518505417673e-15
3,160717,1e-12,d[pcdiamag3]/d[kappa],0.33230297032735323,0.332302970327353,2.220446049250313e-16
3,160717,1e-12,d[kappa]/d[t],1.253558674496917,1.2535586744969163,6.661338147750939e-16
3,160717,1e-12,r[q95]/r[kappa],0.01945218960913878,0.01945218960913757,1.2108369862318114e-15
3,160717,1e-12,d[pcdiamag3]/d[betan],1.3228490485203546,1.3228490485203555,-8.881784197001252e-16
3,160717,1e-12,d[kappa]/d[betan],-1.532932479178651,-1.5329324791786494,-1.5543122344752192e-15
3,160717,1e-12,d[betan]/d[t],-0.4141848533263791,-0.4141848533263781,-9.992007221626409e-16
3,160717,1e-12,d[li]/d[betan],-0.05577429562346294,-0.055774295623463144,2.0122792321330962e-16
3,160717,1e-10,d[pcdiamag3]/d[kappa],0.33230297032735323,0.332302970327353,2.220446049250313e-16
3,160717,1e-10,d[kappa]/d[t],1.253558674496917,1.2535586744969163,6.661338147750939e-16
3,160717,1e-10,r[q95]/r[kappa],0.01945218960913878,0.01945218960913757,1.2108369862318114e-15
3,160717,1e-10,d[pcdiamag3]/d[betan],1.3228490485203546,1.3228490485203555,-8.881784197001252e-16
3,160717,1e-10,d[kappa]/d[betan],-1.532932479178651,-1.5329324791786494,-1.5543122344752192e-15
3,160717,1e-10,d[betan]/d[t],-0.4141848533263791,-0.4141848533263781,-9.992007221626409e-16
3,160717,1e-10,d[li]/d[betan],-0.05577429562346294,-0.055774295623463144,2.0122792321330962e-16
3,160717,1e-08,d[pcdiamag3]/d[kappa],0.33230297032735323,0.332302970327353,2.220446049250313e-16
3,160717,1e-08,d[kappa]/d[t],1.253558674496917,1.2535586744969163,6.661338147750939e-16
3,160717,1e-08,r[q95]/r[kappa],0.01945218960913878,0.01945218960913757,1.2108369862318114e-15
3,160717,1e-08,d[pcdiamag3]/d[betan],1.3228490485203546,1.3228490485203555,-8.881784197001252e-16
3,160717,1e-08,d[kappa]/d[betan],-1.532932479178651,-1.5329324791786494,-1.5543122344752192e-15
3,160717,1e-08,d[betan]/d[t],-0.4141848533263791,-0.4141848533263781,-9.992007221626409e-16
3,160717,1e-08,d[li]/d[betan],-0.05577429562346294,-0.055774295623463144,2.0122792321330962e-16
3,160717,1e-06,d[pcdiamag3]/d[kappa],0.33230297032735323,0.332302970327353,2.220446049250313e-16
3,160717,1e-06,d[kappa]/d[t],1.253558674496917,1.2535586744969163,6.661338147750939e-16
3,160717,1e-06,r[q95]/r[kappa],0.01945218960913878,0.01945218960913757,1.2108369862318114e-15
3,160717,1e-06,d[pcdiamag3]/d[betan],1.3228490485203546,1.3228490485203555,-8.881784197001252e-16
3,160717,1e-06,d[kappa]/d[betan],-1.532932479178651,-1.5329324791786494,-1.5543122344752192e-15
3,160717,1e-06,d[betan]/d[t],-0.4141848533263791,-0.4141848533263781,-9.992007221626409e-16
3,160717,1e-06,d[li]/d[betan],-0.05577429562346294,-0.055774295623463144,2.0122792321330962e-16
4,160719,1e-12,d[pcdiamag3]/d[kappa],0.4736611429987753,0.47366114299877277,2.55351295663786e-15
4,160719,1e-12,d[kappa]/d[t],1.2452699497837336,1.2452699497837318,1.7763568394002505e-15
4,160719,1e-12,r[q95]/r[kappa],-0.0015882282269839218,-0.0015882282269832626,-6.591949208711867e-16
4,160719,1e-12,d[pcdiamag3]/d[betan],1.1013099432114117,1.1013099432114173,-5.551115123125783e-15
4,160719,1e-12,d[kappa]/d[betan],-1.3837999224620814,-1.383799922462083,1.5543122344752192e-15
4,160719,1e-12,d[betan]/d[t],-0.3415062077679176,-0.3415062077679154,-2.220446049250313e-15
4,160719,1e-12,d[li]/d[betan],-0.029377023626907285,-0.029377023626907972,6.869504964868156e-16
4,160719,1e-10,d[pcdiamag3]/d[kappa],0.4736611429987753,0.47366114299877277,2.55351295663786e-15
4,160719,1e-10,d[kappa]/d[t],1.2452699497837336,1.2452699497837318,1.7763568394002505e-15
4,160719,1e-10,r[q95]/r[kappa],-0.0015882282269839218,-0.0015882282269832626,-6.591949208711867e-16
4,160719,1e-10,d[pcdiamag3]/d[betan],1.1013099432114117,1.1013099432114173,-5.551115123125783e-15
4,160719,1e-10,d[kappa]/d[betan],-1.3837999224620814,-1.383799922462083,1.5543122344752192e-15
4,160719,1e-10,d[betan]/d[t],-0.3415062077679176,-0.3415062077679154,-2.220446049250313e-15
4,160719,1e-10,d[li]/d[betan],-0.029377023626907285,-0.029377023626907972,6.869504964868156e-16
4,160719,1e-08,d[pcdiamag3]/d[kappa],0.4736611429987753,0.47366114299877277,2.55351295663786e-15
