realization_index,shot,feature,block_setting,sd_primary,sd_sensitivity,sd_ratio_sens_over_primary
11,165017,d[betan]/d[t],short,0.1308023677001745,0.1009643253127822,0.771884539156142
11,165017,d[betan]/d[t],long,0.1308023677001745,0.14898391942025205,1.1390001728543033
11,165017,d[li]/d[betan],short,0.008229094875270154,0.007407404459162007,0.900148141616599
11,165017,d[li]/d[betan],long,0.008229094875270154,0.008224914346737906,0.9994919819741281
12,165022,d[pcdiamag3]/d[kappa],short,0.3480980875211081,0.3221716975594431,0.9255198724408568
12,165022,d[pcdiamag3]/d[kappa],long,0.3480980875211081,0.3724396011022229,1.069927168386519
12,165022,d[kappa]/d[t],short,0.1807492103390327,0.168020952075609,0.9295805594970503
12,165022,d[kappa]/d[t],long,0.1807492103390327,0.20769101608888618,1.1490562846682282
12,165022,r[q95]/r[kappa],short,0.0397128016646098,0.032273475417553814,0.8126718353974413
12,165022,r[q95]/r[kappa],long,0.0397128016646098,0.03608154815510607,0.9085621422489404
12,165022,d[pcdiamag3]/d[betan],short,0.22331671798519498,0.21209785666052153,0.9497625550568132
12,165022,d[pcdiamag3]/d[betan],long,0.22331671798519498,0.23712643450020188,1.061839152212157
12,165022,d[kappa]/d[betan],short,0.17527790317380382,0.1925650737320117,1.0986272099630552
12,165022,d[kappa]/d[betan],long,0.17527790317380382,0.16350229234014446,0.9328174822927696
12,165022,d[betan]/d[t],short,0.19050682302538455,0.1830605857327175,0.9609135401324926
12,165022,d[betan]/d[t],long,0.19050682302538455,0.2112648091957002,1.1089619040445002
12,165022,d[li]/d[betan],short,0.023639622296081058,0.023185700464075854,0.980798262073695
12,165022,d[li]/d[betan],long,0.023639622296081058,0.02331932773225221,0.9864509441048501
13,165026,d[pcdiamag3]/d[kappa],short,0.2582380121083648,0.2302477847950703,0.8916107389273513
13,165026,d[pcdiamag3]/d[kappa],long,0.2582380121083648,0.31846326250545043,1.2332160548533497
13,165026,d[kappa]/d[t],short,0.18325933029184865,0.16472986566791148,0.8988893793596807
13,165026,d[kappa]/d[t],long,0.18325933029184865,0.23135831512675403,1.2624640434858314
13,165026,r[q95]/r[kappa],short,0.014354375446374506,0.013456966408618477,0.9374818471824474
13,165026,r[q95]/r[kappa],long,0.014354375446374506,0.019025190492112123,1.3253931223399904
13,165026,d[pcdiamag3]/d[betan],short,0.14109839089646634,0.12660162222645774,0.8972577321548141
13,165026,d[pcdiamag3]/d[betan],long,0.14109839089646634,0.1724694911893413,1.2223349259588148
13,165026,d[kappa]/d[betan],short,0.07422714322917835,0.07479022334943859,1.0075859058528052
13,165026,d[kappa]/d[betan],long,0.07422714322917835,0.06816934737716294,0.9183884009477138
13,165026,d[betan]/d[t],short,0.17976845593896945,0.16105700555154723,0.8959136057007934
13,165026,d[betan]/d[t],long,0.17976845593896945,0.22529119653217383,1.2532298581273784
13,165026,d[li]/d[betan],short,0.010957438896632166,0.01145795322551486,1.0456780396955245
13,165026,d[li]/d[betan],long,0.010957438896632166,0.012151635156801618,1.1089849801065637
14,165027,d[pcdiamag3]/d[kappa],short,0.3028208516084898,0.25274765309915215,0.8346441526619937
14,165027,d[pcdiamag3]/d[kappa],long,0.3028208516084898,0.34254472909994327,1.1311794656162266
14,165027,d[kappa]/d[t],short,0.17334358189514573,0.14692982169728713,0.8476219314895839
14,165027,d[kappa]/d[t],long,0.17334358189514573,0.19572801120947014,1.129133303175098
14,165027,r[q95]/r[kappa],short,0.030148214969887344,0.025638275717799,0.8504077519483719
14,165027,r[q95]/r[kappa],long,0.030148214969887344,0.026287351251149033,0.8719372366624196
14,165027,d[pcdiamag3]/d[betan],short,0.29351053188213877,0.2460651339173981,0.838351974423209
14,165027,d[pcdiamag3]/d[betan],long,0.29351053188213877,0.33152538630696565,1.1295178547122489
14,165027,d[kappa]/d[betan],short,0.19795971827369258,0.1843998967548259,0.9315021175160482
14,165027,d[kappa]/d[betan],long,0.19795971827369258,0.20817319333709747,1.051593703772012
14,165027,d[betan]/d[t],short,0.1390342113396473,0.11936916123303354,0.8585596313516335
14,165027,d[betan]/d[t],long,0.1390342113396473,0.15305797480765887,1.1008655591518532
14,165027,d[li]/d[betan],short,0.018850560875856598,0.015973136915708668,0.847356055923295
14,165027,d[li]/d[betan],long,0.018850560875856598,0.018601348397485857,0.9867795722359162
15,165028,d[pcdiamag3]/d[kappa],short,0.2664153504634651,0.2445788147516516,0.9180357450356114
15,165028,d[pcdiamag3]/d[kappa],long,0.2664153504634651,0.2943135245798774,1.1047168418331699
15,165028,d[kappa]/d[t],short,0.16021858851765708,0.146266167255494,0.912916338913906
15,165028,d[kappa]/d[t],long,0.16021858851765708,0.17485918864337827,1.0913789109064995
15,165028,r[q95]/r[kappa],short,0.011678791009407559,0.011531827927312294,0.9874162418029513
15,165028,r[q95]/r[kappa],long,0.011678791009407559,0.012526338091442909,1.072571474337674
15,165028,d[pcdiamag3]/d[betan],short,0.1760948157237575,0.16140668485272547,0.9165896462615094
15,165028,d[pcdiamag3]/d[betan],long,0.1760948157237575,0.19509558763723195,1.1079008023909127
15,165028,d[kappa]/d[betan],short,0.10536903777549086,0.10553800109389203,1.0016035385912907
15,165028,d[kappa]/d[betan],long,0.10536903777549086,0.11123151133715856,1.0556375353275766
15,165028,d[betan]/d[t],short,0.15015975926575548,0.1371081540094768,0.9130818714674374
15,165028,d[betan]/d[t],long,0.15015975926575548,0.16595787885126348,1.1052087434260407
15,165028,d[li]/d[betan],short,0.006265771499600488,0.005798257861780591,0.9253861016395775
15,165028,d[li]/d[betan],long,0.006265771499600488,0.00569741586583759,0.9092919948006328
