realization_index,shot,feature,feature_order,canonical_estimate,bootstrap_mean,bootstrap_median,bootstrap_standard_deviation,bootstrap_variance,q025,q05,q25,q75,q95,q975,fraction_positive,fraction_negative,sign_stability,relative_bootstrap_sd,interval_contains_zero,primary_block_length
6,160721,d[kappa]/d[t],source_matrix_order,1.1030415077720925,1.1001895113937936,1.0868962920261098,0.0720691439332564,0.0051939615072724285,0.9996291807940322,1.009185910300779,1.0504169703256314,1.1371175249396595,1.2413156730142072,1.278124180091142,1.0,0.0,1.0,0.06533674700856956,False,62
6,160721,r[q95]/r[kappa],source_matrix_order,-0.004279461782426511,0.0044827258867808795,-0.002300950024931546,0.02305908174827145,0.0005317212510734655,-0.02211889069901562,-0.017539388866027822,-0.00669452607673119,0.006495570851067451,0.05325017430557843,0.07201330713101727,0.397,0.603,0.603,5.388313512450919,True,62
6,160721,d[pcdiamag3]/d[betan],source_matrix_order,1.1511944400168543,1.0805210464108903,1.1135482988419063,0.24784005408912238,0.06142469241089911,0.5149445905001084,0.64551103494939,0.9416548489007317,1.2592303099093731,1.4224502492446496,1.4916835294232522,0.999,0.001,0.999,0.21528948149323374,False,62
6,160721,d[kappa]/d[betan],source_matrix_order,-1.212259033630669,-1.143402865886241,-1.1691380117073442,0.285196216827365,0.0813368820926414,-1.6613676567660396,-1.567263938854675,-1.324098354895545,-0.9985116462910603,-0.6663180526832222,-0.5327841989731174,0.001,0.999,0.999,0.23526012916003036,False,62
6,160721,d[betan]/d[t],source_matrix_order,-0.20471005360677857,-0.1977803857500785,-0.19527067072432006,0.056836248286991055,0.0032303591193404936,-0.330716638338045,-0.2939460984105557,-0.2239302828189523,-0.16954650755465325,-0.12023387567610039,-0.09455526165083955,0.008,0.992,0.992,0.2776426818595135,False,62
6,160721,d[li]/d[betan],source_matrix_order,-0.02572961961421267,-0.026491341071826685,-0.026297907930686412,0.01330679784142577,0.00017707086879257354,-0.052951861864908016,-0.04821925647014536,-0.03604476505560384,-0.01651675620675588,-0.004615883161943417,-0.0013171356258433761,0.021,0.979,0.979,0.517178179893292,False,62
7,161136,d[pcdiamag3]/d[kappa],source_matrix_order,0.2545058590149285,0.5650612474424211,0.26485335384251674,0.5157395792049887,0.26598731355853883,0.11515432818582769,0.13204884667563843,0.19425078939728074,1.1202240162478228,1.5034559834133572,1.5578084748888508,1.0,0.0,1.0,2.0264349952538225,False,111
7,161136,d[kappa]/d[t],source_matrix_order,1.4999512343024959,1.3065810839522172,1.37012332773326,0.1937159268901289,0.037525860330901765,0.9486906313528919,0.980466915978775,1.1178125439873068,1.475710355671659,1.5246373700973992,1.5366843926291216,1.0,0.0,1.0,0.1291481499264942,False,111
7,161136,r[q95]/r[kappa],source_matrix_order,0.00015328926438008816,0.001547297687612848,0.0025805058615741006,0.014478614028935166,0.0002096302641988782,-0.019382473273893246,-0.012599594932708359,-0.0010863015115968148,0.005098805814637487,0.01398307947065845,0.018083575770960758,0.701,0.299,0.701,94.45289001413882,True,111
7,161136,d[pcdiamag3]/d[betan],source_matrix_order,1.4114322211522257,1.0066206039200987,1.3970633620060793,0.6782059631693917,0.45996332847852234,-0.30012434002101074,-0.22764504743803204,0.28292653285175906,1.4954005134985282,1.5861269508538203,1.6139848355973205,0.838,0.162,0.838,0.4805090552741784,True,111
7,161136,d[kappa]/d[betan],source_matrix_order,-1.8530227593250168,-1.2451792264464232,-1.7017944345157785,0.8029704549544867,0.6447615515298154,-1.9642746028939697,-1.9421360582940008,-1.834928138453569,-0.37519833412070824,0.19481897732606746,0.2979138089070414,0.145,0.855,0.855,0.43333005539930697,True,111
